Country_Name,Country_Code,Time,Time_Code,Air_transport_freight_million_ton,Air_Passengers_carried,Air_Carrier_departures_worldwide,customs_procedure_burden_1=inefficient_7=efficient,Container_port_traffic_TEU_units,Liner_shipping_connectivity_index,Pump_price_diesel_fuel_US$_per_liter,Pump_price_gasoline_US$_per_liter,Port_Quality_infrastructure_1=underdeveloped_7=well_developed,Rail_lines_total_route-km,Rail_goods_transport_million_ton-km,Rail_passengers_carried_million_passenger-km
Bermuda,BMU,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1970,YR1970,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1974,YR1974,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1975,YR1975,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1976,YR1976,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1978,YR1978,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1979,YR1979,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1980,YR1980,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1981,YR1981,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1982,YR1982,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1983,YR1983,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1984,YR1984,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1985,YR1985,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1986,YR1986,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1987,YR1987,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1988,YR1988,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1989,YR1989,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1990,YR1990,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1991,YR1991,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1993,YR1993,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1994,YR1994,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1995,YR1995,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1996,YR1996,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1997,YR1997,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1998,YR1998,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1999,YR1999,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2000,YR2000,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2001,YR2001,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2002,YR2002,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2003,YR2003,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2004,YR2004,..,..,..,..,..,1.54,..,..,..,..,..,..
Bermuda,BMU,2005,YR2005,..,..,..,..,..,1.57,..,..,..,..,..,..
Bermuda,BMU,2006,YR2006,..,..,..,..,..,1.57,..,..,..,..,..,..
Bermuda,BMU,2007,YR2007,..,..,..,..,..,1.57,..,..,..,..,..,..
Bermuda,BMU,2008,YR2008,..,..,..,..,..,1.57,..,..,..,..,..,..
Bermuda,BMU,2009,YR2009,..,..,..,..,..,1.57,..,..,..,..,..,..
Bermuda,BMU,2010,YR2010,..,..,..,..,..,1.57,..,..,..,..,..,..
Bermuda,BMU,2011,YR2011,..,..,..,..,..,1.57,..,..,..,..,..,..
Bermuda,BMU,2012,YR2012,..,..,..,..,..,1.57,..,..,..,..,..,..
Bermuda,BMU,2013,YR2013,..,..,..,..,..,15.92,..,..,..,..,..,..
Bermuda,BMU,2014,YR2014,..,..,..,..,..,1.52,..,..,..,..,..,..
Bermuda,BMU,2015,YR2015,..,..,..,..,..,1.51,..,..,..,..,..,..
Bermuda,BMU,2016,YR2016,..,..,..,..,..,1.29,..,..,..,..,..,..
Canada,CAN,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,1970,YR1970,370.8999939,10180300,305200,..,..,..,..,..,..,..,..,..
Canada,CAN,1971,YR1971,403.5,10247300,292500,..,..,..,..,..,..,..,..,..
Canada,CAN,1972,YR1972,433.3999939,11628500,291400,..,..,..,..,..,..,..,..,..
Canada,CAN,1973,YR1973,484.2000122,14626800,348900,..,..,..,..,..,..,..,..,..
Canada,CAN,1974,YR1974,520.2999878,16367500,371900,..,..,..,..,..,..,..,..,..
Canada,CAN,1975,YR1975,534.2999878,16712900,363800,..,..,..,..,..,..,..,..,..
Canada,CAN,1976,YR1976,567.7000122,16833100,352900,..,..,..,..,..,..,..,..,..
Canada,CAN,1977,YR1977,550.4000244,17466400,348000,..,..,..,..,..,..,..,..,..
Canada,CAN,1978,YR1978,608.5999756,18472000,349200,..,..,..,..,..,..,..,..,..
Canada,CAN,1979,YR1979,670.4000244,20846400,357700,..,..,..,..,..,..,..,..,..
Canada,CAN,1980,YR1980,688.5999756,22453000,382000,..,..,..,..,..,..,..,..,..
Canada,CAN,1981,YR1981,713.0999756,22097100,383600,..,..,..,..,..,..,..,..,..
Canada,CAN,1982,YR1982,746.5999756,19653800,344000,..,..,..,..,..,..,52507,104438.5473,..
Canada,CAN,1983,YR1983,825.5999756,18107900,325300,..,..,..,..,..,..,53605,115416.4745,..
Canada,CAN,1984,YR1984,967.2000122,19382600,343600,..,..,..,..,..,..,51697,132166.3742,..
Canada,CAN,1985,YR1985,989.7999878,19688400,351900,..,..,..,..,..,..,51745,125321.4388,..
Canada,CAN,1986,YR1986,977,20378500,343000,..,..,..,..,..,..,50708,128071,..
Canada,CAN,1987,YR1987,1006.799988,19946500,333800,..,..,..,..,..,..,..,136499,..
